Frame,MergeStartTime(ms),MergeEndTime(ms),Elapsed(ms)
241,1750234408161.324,1750234408202.586,41.261
242,1750234408229.342,1750234408268.192,38.851
243,1750234408296.164,1750234408339.176,43.012
244,1750234408363.173,1750234408404.228,41.055
245,1750234408429.712,1750234408471.488,41.775
246,1750234408496.415,1750234408538.122,41.707
247,1750234408563.384,1750234408603.889,40.505
248,1750234408629.857,1750234408667.559,37.702
249,1750234408679.702,1750234408729.135,49.433
250,1750234408745.980,1750234408783.241,37.260
251,1750234408795.931,1750234408836.262,40.332
252,1750234408863.579,1750234408902.046,38.467
253,1750234408913.752,1750234408950.930,37.178
254,1750234408979.680,1750234409015.706,36.026
255,1750234409029.037,1750234409072.057,43.020
256,1750234409095.920,1750234409135.421,39.500
257,1750234409164.199,1750234409206.067,41.868
258,1750234409230.662,1750234409283.970,53.308
259,1750234409312.910,1750234409385.219,72.309
260,1750234409413.099,1750234409453.774,40.675
261,1750234409479.493,1750234409519.256,39.763
262,1750234409564.012,1750234409606.688,42.676
263,1750234409629.078,1750234409668.640,39.562
264,1750234409680.367,1750234409719.942,39.576
265,1750234409747.177,1750234409787.519,40.341
266,1750234409813.792,1750234409859.236,45.444
267,1750234409880.920,1750234409921.297,40.377
268,1750234409947.450,1750234409986.386,38.936
269,1750234410012.666,1750234410051.420,38.754
270,1750234410080.868,1750234410119.305,38.437
271,1750234410151.715,1750234410188.985,37.270
272,1750234410213.487,1750234410257.665,44.178
273,1750234410280.407,1750234410318.230,37.823
274,1750234410330.116,1750234410369.310,39.194
275,1750234410397.940,1750234410432.854,34.915
276,1750234410446.117,1750234410484.852,38.735
277,1750234410513.939,1750234410552.045,38.106
278,1750234410579.756,1750234410617.638,37.882
279,1750234410629.988,1750234410668.523,38.536
280,1750234410680.043,1750234410717.715,37.672
281,1750234410730.759,1750234410813.608,82.849
282,1750234410848.344,1750234410904.946,56.602
283,1750234410931.590,1750234410972.988,41.398
284,1750234410998.110,1750234411036.217,38.106
285,1750234411064.561,1750234411104.910,40.349
286,1750234411132.170,1750234411172.767,40.597
287,1750234411197.790,1750234411236.356,38.566
288,1750234411247.507,1750234411285.552,38.046
289,1750234411297.775,1750234411336.289,38.513
290,1750234411348.977,1750234411393.282,44.306
291,1750234411415.092,1750234411505.809,90.716
292,1750234411531.544,1750234411569.756,38.212
293,1750234411598.709,1750234411632.976,34.266
294,1750234411649.098,1750234411689.306,40.208
295,1750234411714.373,1750234411753.543,39.170
296,1750234411764.470,1750234411806.214,41.744
297,1750234411832.490,1750234411866.502,34.012
298,1750234411882.568,1750234411920.142,37.575
299,1750234411932.079,1750234411969.237,37.158
