Frame,Start(ms),End(ms),Elapsed(ms)
238,1751260466309.577,1751260466345.236,35.659
239,1751260466345.236,1751260466381.329,36.093
240,1751260466382.508,1751260466423.403,40.895
241,1751260466423.403,1751260466461.730,38.327
242,1751260466461.730,1751260466501.948,40.219
243,1751260466501.948,1751260466538.019,36.071
244,1751260466539.169,1751260466577.966,38.797
245,1751260466577.966,1751260466617.161,39.195
246,1751260466617.161,1751260466656.376,39.215
247,1751260466656.376,1751260466693.219,36.843
248,1751260466693.219,1751260466732.710,39.491
249,1751260466732.710,1751260466770.950,38.240
250,1751260466770.950,1751260466809.865,38.915
251,1751260466810.550,1751260466845.071,34.521
252,1751260466845.071,1751260466885.724,40.653
253,1751260466886.255,1751260466924.508,38.253
254,1751260466924.508,1751260466960.525,36.017
255,1751260466960.525,1751260466995.731,35.206
256,1751260466995.731,1751260467036.907,41.177
257,1751260467037.916,1751260467074.351,36.436
258,1751260467074.351,1751260467112.058,37.707
259,1751260467112.058,1751260467152.414,40.356
260,1751260467152.414,1751260467189.939,37.525
261,1751260467189.939,1751260467227.938,37.999
262,1751260467229.365,1751260467265.524,36.159
263,1751260467266.531,1751260467303.201,36.669
264,1751260467303.201,1751260467343.786,40.585
265,1751260467343.786,1751260467386.484,42.698
266,1751260467387.538,1751260467425.750,38.212
267,1751260467425.750,1751260467461.122,35.373
268,1751260467461.122,1751260467500.705,39.582
269,1751260467500.705,1751260467539.422,38.717
270,1751260467539.422,1751260467575.210,35.789
271,1751260467576.250,1751260467612.703,36.453
272,1751260467612.703,1751260467651.957,39.253
273,1751260467651.957,1751260467690.718,38.761
274,1751260467690.718,1751260467728.957,38.239
275,1751260467730.037,1751260467775.600,45.563
276,1751260467775.600,1751260467820.895,45.294
277,1751260467821.901,1751260467858.524,36.623
278,1751260467858.524,1751260467896.352,37.828
279,1751260467896.352,1751260467939.471,43.119
280,1751260467940.508,1751260467975.645,35.136
281,1751260467977.002,1751260468017.437,40.435
282,1751260468017.437,1751260468060.468,43.031
283,1751260468060.468,1751260468099.718,39.250
284,1751260468099.718,1751260468137.302,37.583
285,1751260468137.302,1751260468179.717,42.415
286,1751260468179.717,1751260468218.841,39.124
287,1751260468219.837,1751260468259.073,39.236
288,1751260468259.073,1751260468296.448,37.375
289,1751260468296.448,1751260468338.796,42.348
290,1751260468338.796,1751260468376.743,37.948
291,1751260468376.743,1751260468415.763,39.020
292,1751260468415.763,1751260468459.031,43.268
293,1751260468459.850,1751260468500.753,40.903
294,1751260468500.753,1751260468542.873,42.120
295,1751260468542.873,1751260468585.868,42.995
296,1751260468585.868,1751260468630.837,44.969
297,1751260468630.837,1751260468668.131,37.294
298,1751260468669.153,1751260468707.766,38.613
299,1751260468707.766,1751260468745.469,37.703
