FrameNumber,HMDPX,HMDPY,HMDPZ,HMDRX,HMDRY,HMDRZ,ViewFrame
150,-790.7767,503.0000,272.7477,0.1759,92.9592,0.0000,0
151,-791.3824,503.0000,255.3150,0.1759,90.9184,0.0000,0
152,-791.4443,503.0000,237.7014,0.1759,89.2857,0.0000,0
153,-790.9464,503.0000,219.8190,0.1759,87.5510,0.0000,0
154,-789.9586,503.0000,201.9835,0.1759,86.3265,0.0000,0
155,-788.5829,503.0000,184.4011,0.1759,84.5918,0.0000,0
156,-786.6999,503.0000,166.8439,0.1759,83.1633,0.0000,0
157,-784.3627,503.0000,149.0896,0.1759,82.1429,0.0000,0
158,-781.8295,503.0000,131.6753,0.1759,81.5306,0.0000,0
159,-779.0833,503.0000,114.1819,0.1759,80.7143,0.0000,0
160,-776.0775,503.0000,96.9487,0.1759,79.2857,0.0000,0
161,-772.4959,503.0000,79.4835,0.1759,77.7551,0.0000,0
162,-768.1832,503.0000,62.4706,0.1759,73.8776,0.0000,0
163,-762.1251,503.0000,46.1545,0.1759,66.4286,0.0000,0
164,-754.8937,503.0000,30.2371,0.1759,64.8980,0.0000,0
165,-747.4325,503.0000,14.3726,0.1759,64.7959,0.0000,0
166,-739.9373,503.0000,-1.5529,0.1759,64.7959,0.0000,0
167,-731.1844,503.0000,-20.1500,0.1759,64.7959,0.0000,0
168,-723.4608,503.0000,-36.5606,0.1759,64.7959,0.0000,0
169,-715.8478,503.0000,-52.7361,0.1759,64.7959,0.0000,0
170,-708.1841,503.0000,-69.0195,0.1759,64.7959,0.0000,0
171,-700.6473,503.0000,-85.0333,0.1759,64.7959,0.0000,0
172,-693.1662,503.0000,-100.9286,0.1759,64.7959,0.0000,0
173,-685.6955,503.0000,-116.8015,0.1759,64.7959,0.0000,0
174,-678.3037,503.0000,-132.5073,0.1759,64.7959,0.0000,0
175,-670.8412,503.0000,-148.3627,0.1759,64.7959,0.0000,0
176,-663.4374,503.0000,-164.0937,0.1759,64.7959,0.0000,0
177,-655.9210,503.0000,-180.0640,0.1759,64.7959,0.0000,0
178,-648.4602,503.0000,-195.9158,0.1759,64.7959,0.0000,0
179,-640.8634,503.0000,-212.0569,0.1759,64.7959,0.0000,0
180,-633.4699,503.0000,-227.7659,0.1759,64.7959,0.0000,0
181,-625.9021,503.0000,-243.8452,0.1759,64.7959,0.0000,0
182,-618.4648,503.0000,-259.6472,0.1759,64.7959,0.0000,0
183,-610.8069,503.0000,-275.6381,0.1759,63.2653,0.0000,0
184,-601.8448,503.0000,-291.2090,0.2638,57.7551,0.0000,0
185,-591.7675,503.0000,-305.3872,0.2638,52.0408,0.0000,0
186,-580.5638,503.0000,-319.0963,0.2638,49.2857,0.0000,0
187,-568.9180,503.0000,-332.2845,0.2638,47.6531,0.0000,0
188,-557.0135,503.0000,-344.9493,0.2638,46.1225,0.0000,0
189,-544.5004,503.0000,-357.3967,0.2638,44.0816,0.0000,0
190,-531.4509,503.0000,-369.5940,0.2638,42.2449,0.0000,0
